"Week of";"Commits"
"2018-03-25";2
"2018-04-01";3
"2018-04-08";4
"2018-04-15";0
"2018-04-22";0
"2018-04-29";1
"2018-05-06";0
"2018-05-13";0
"2018-05-20";0
"2018-05-27";0
"2018-06-03";9
"2018-06-10";7
"2018-06-17";8
"2018-06-24";4
