"Week of";"Commits"
"2022-06-12";2
"2022-06-19";0
"2022-06-26";0
"2022-07-03";0
"2022-07-10";0
"2022-07-17";4
"2022-07-24";0
"2022-07-31";0
"2022-08-07";0
"2022-08-14";0
"2022-08-21";0
"2022-08-28";0
"2022-09-04";1
